1	2190	deep-robotics-lite3	weight	caveat	"Includes battery. The value is the Basic variant's."
2	2190	deep-robotics-lite3	slope	caveat	"Same for all four variants."
3	2190	deep-robotics-lite3	autonomy_level	caveat	"Qualitative. The value is the Basic variant's."
4	2191	deep-robotics-lynx-m20	obstacle_single	caveat	"The producer's own label: Max. Single-Step Height."
5	2191	deep-robotics-lynx-m20	ip_rating	value_text	"IP66"
6	2191	deep-robotics-lynx-m20	lidar	caveat	"Type without model – doesn't count under D4."
7	2191	deep-robotics-lynx-m20	cameras	value_text	"vidvinkelkameraer x2"
8	2191	deep-robotics-lynx-m20	power_output	caveat	"The page's 72V power input is power IN, not out."
9	2191	deep-robotics-lynx-m20	payload_walking	caveat	"The producer's label is Payload Capacity."
10	2191	deep-robotics-lynx-m20	hot_swap	caveat	"Only in the body text, not in the specification table."
11	2191	deep-robotics-lynx-m20	compute	value_text	"2x otte-kernet 64-bit (16 GB + 128 GB)"
12	2192	deep-robotics-lynx-m20-pro	payload_walking	caveat	"The producer's label is Payload Capacity."
13	2192	deep-robotics-lynx-m20-pro	obstacle_single	caveat	"The producer's own label: Max. Single-Step Height."
14	2192	deep-robotics-lynx-m20-pro	ip_rating	value_text	"IP66"
15	2192	deep-robotics-lynx-m20-pro	hot_swap	caveat	"Only in the body text, not in the specification table."
16	2192	deep-robotics-lynx-m20-pro	lidar	caveat	"Type without model – doesn't count under D4."
17	2192	deep-robotics-lynx-m20-pro	cameras	value_text	"vidvinkelkameraer x2"
18	2192	deep-robotics-lynx-m20-pro	power_output	caveat	"The page's 72V power input is power IN, not out."
19	2192	deep-robotics-lynx-m20-pro	compute	value_text	"3x otte-kernet 64-bit (16 GB + 128 GB)"
20	2193	deep-robotics-lynx-m20s	obstacle_single	caveat	"The producer's own label: Max. Single-Step Height."
21	2193	deep-robotics-lynx-m20s	ip_rating	value_text	"IP67"
22	2193	deep-robotics-lynx-m20s	lidar	caveat	"Type without model – doesn't count under D4."
23	2193	deep-robotics-lynx-m20s	cameras	value_text	"vidvinkelkameraer x2"
24	2193	deep-robotics-lynx-m20s	compute	value_text	"3x otte-kernet 64-bit (16 GB + 128 GB)"
25	2193	deep-robotics-lynx-m20s	payload_walking	caveat	"The producer's label: Effective Payload (standard terrain)."
26	2194	deep-robotics-lynx-s10	obstacle_single	caveat	"clear obstacles up to 50 cm high – body text, not a table."
27	2194	deep-robotics-lynx-s10	ip_rating	value_text	"IP66"
28	2194	deep-robotics-lynx-s10	autonomy_level	caveat	"Qualitative, in body text."
29	2195	deep-robotics-mini	slope	caveat	"It's in the same row as the speed – see speed."
30	2196	deep-robotics-x20	ip_rating	value_text	"IP66"
31	2196	deep-robotics-x20	runtime	caveat	"Range is stated as 15 km. The schema has no range field."
32	2197	deep-robotics-x30	weight	caveat	"Includes battery (battery included)."
33	2197	deep-robotics-x30	ip_rating	value_text	"IP67"
34	2197	deep-robotics-x30	runtime	caveat	"Range >= 10 km. No load condition."
35	2197	deep-robotics-x30	power_output	value_text	"72 V BAT"
36	2198	deep-robotics-x30-pro	weight	caveat	"Includes battery (battery included)."
37	2198	deep-robotics-x30-pro	height	caveat	"USIKKER TILDELING - se bredde."
38	2198	deep-robotics-x30-pro	slope	caveat	"Character U+2264 – a ceiling, not a performance figure."
39	2198	deep-robotics-x30-pro	ip_rating	value_text	"IP67"
40	2198	deep-robotics-x30-pro	runtime	caveat	"Range >= 10 km. No load condition."
41	2198	deep-robotics-x30-pro	power_output	value_text	"5 V; 12 V; 24 V"
