1	2219	magiclab-magicdog-edu	lidar	caveat	"2D LiDAR — type without model, does not count under D4."
2	2219	magiclab-magicdog-edu	compute	value_text	"8-kernet CPU"
3	2219	magiclab-magicdog-edu	autonomy_level	value_text	"Smart Obstacle Avoidance; Patrol Mode; Smart Following"
4	2219	magiclab-magicdog-edu	autonomy_level	caveat	"All three marked yes. Qualitative, not a level on a scale."
5	2220	magiclab-magicdog-pro	lidar	caveat	"2D LiDAR — type without model, does not count under D4."
6	2220	magiclab-magicdog-pro	compute	value_text	"8-kernet CPU"
7	2220	magiclab-magicdog-pro	autonomy_level	value_text	"Smart Obstacle Avoidance; Patrol Mode; Smart Following"
8	2220	magiclab-magicdog-pro	autonomy_level	caveat	"All three marked yes. Qualitative, not a level on a scale."
9	2221	magiclab-magicdog-w	runtime	caveat	"Standby is stated as up to 8 hours (measured)."
10	2221	magiclab-magicdog-w	lidar	caveat	"Type without model — does not count under D4."
11	2222	magiclab-magicdog-y1	weight	caveat	"Including battery."
12	2222	magiclab-magicdog-y1	ip_rating	value_text	"IP67"
13	2222	magiclab-magicdog-y1	temperature_min	caveat	"Stated in body text, not in the table."
14	2222	magiclab-magicdog-y1	temperature_max	caveat	"Stated in body text, not in the table."
15	2222	magiclab-magicdog-y1	lidar	caveat	"3D LiDAR x1 — type without model, does not count under D4."
16	2222	magiclab-magicdog-y1	cameras	value_text	"dybdekameraer x2 + optiske kameraer x2"
17	2222	magiclab-magicdog-y1	power_output	value_text	"(24 V + RS485) x4; (12 V + Ethernet) x3"
18	2222	magiclab-magicdog-y1	power_output	caveat	"Voltage stated, wattage not."
