2190	applications	note_wording	"教育科研"
2190	applications	note_wording	"行业应用"
2192	applications	note	"The LYNX M20 series"
2193	applications	note	"The LYNX M20 series"
2194	applications	note	"security patrol"
2194	applications	note	"emergency firefighting"
2195	applications	note	"deep learning"
2195	applications	note	"visual perception"
2196	applications	note	"X20: The Ultimate Quadruped Bot series for Industrial Use"
2196	applications	note_wording	"X20: The Ultimate Quadruped Bot series for Industrial Use"
2196	applications	note_wording	"行业应用"
2197	applications	note	"security"
2197	applications	note	"surveying and mapping"
2198	applications	note	"X30 quadruped robot"
2198	applications	note	"security"
